Name,Subtitle,Description,Categories,Google Maps URL,Closed Permanently,Closed Temporarily,Phone,Website,Address,Located In,Street,Neighborhood,City,State,Country Code,Postal Code,Latitude,Longitude,Compiled,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Total Score,Count,Five Stars,Four Stars,Three Stars,Two Stars,One Star,Scraped When,Search String,Search URL (Loaded),Search URL,Page Rank,Place ID,Google+ Code,CID,FID
Pistacia Vera,,"Quaint cafe with sidewalk seats for homemade macaron, pastries & other sweets, plus light fare.","Bakery, Brunch restaurant, Coffee shop, Dessert shop",https://www.google.com/maps/search/?api=1&query=Pistacia%20Vera&query_place_id=ChIJHREEqEuPOIgRaaSKVhLlK9Q,False,False,+1 614-220-9070,http://www.pistaciavera.com/,"541 S 3rd St, Columbus, OH 43215, United States",,541 S 3rd St,German Village,Columbus,Ohio,US,43215.0,39.9512782,-82.9959712,"Monday: 7 AM to 3 PM
Tuesday: 7 AM to 3 PM
Wednesday: 7 AM to 3 PM
Thursday: 7 AM to 3 PM
Friday: 7 AM to 3 PM
Saturday: 7 AM to 3 PM
Sunday: 7 AM to 3 PM",7 AM to 3 PM,7 AM to 3 PM,7 AM to 3 PM,7 AM to 3 PM,7 AM to 3 PM,7 AM to 3 PM,7 AM to 3 PM,4.7,1433,1161,185,45,22,20,2024-06-10T16:32:50.415Z,Bakery,"https://www.google.com/maps/search/Bakery/@39.9439594,-83.0505893,16z?hl=en&entry=ttu","https://www.google.com/maps/search/Bakery/@39.94395944680436,-83.05058930120104,16z?hl=en",8,ChIJHREEqEuPOIgRaaSKVhLlK9Q,"X223+GJ Columbus, Ohio, USA",15288565226963379305,0x88388f4ba804111d:0xd42be512568aa469
J's Sweet Treats and Wedding Cakes,,,"Bakery, Wedding cake shop",https://www.google.com/maps/search/?api=1&query=J's%20Sweet%20Treats%20and%20Wedding%20Cakes&query_place_id=ChIJ4RTjcIbzOIgRBZhHk1XZqe0,False,False,+1 614-468-1498,http://www.jssweettreats.net/,"400 N High St, Columbus, OH 43215, United States",South Cafe & Marketplace inside Greater Columbus Convention Center,400 N High St,Downtown,Columbus,Ohio,US,43215.0,39.9715047,-83.0007962,"Monday: 9 AM to 2:30 PM
Tuesday: 10 AM to 4 PM
Wednesday: 10 AM to 4 PM
Thursday: 10 AM to 4 PM
Friday: 10 AM to 4 PM
Saturday: 10 AM to 4 PM
Sunday: Closed",9 AM to 2:30 PM,10 AM to 4 PM,10 AM to 4 PM,10 AM to 4 PM,10 AM to 4 PM,10 AM to 4 PM,Closed,4.5,210,173,6,4,8,19,2024-06-10T16:32:47.505Z,Bakery,"https://www.google.com/maps/search/Bakery/@39.9439594,-83.0505893,16z?hl=en&entry=ttu","https://www.google.com/maps/search/Bakery/@39.94395944680436,-83.05058930120104,16z?hl=en",14,ChIJ4RTjcIbzOIgRBZhHk1XZqe0,"XXCX+JM Columbus, Ohio, USA",17125458019619411973,0x8838f38670e314e1:0xeda9d95593479805
2C's Bakery,,,"Bakery, Service establishment",https://www.google.com/maps/search/?api=1&query=2C's%20Bakery&query_place_id=ChIJ90aPtOjtOIgRj_XBypAqC80,False,False,+1 614-300-5379,https://2csbakery.com/,,,,,,,,,40.0025134,-82.9238535,"Monday: 10 AM to 6 PM
Tuesday: 10 AM to 6 PM
Wednesday: 10 AM to 6 PM
Thursday: 10 AM to 6 PM
Friday: 10 AM to 6 PM
Saturday: 10 AM to 6:30 PM
Sunday: 11 AM to 3 PM",10 AM to 6 PM,10 AM to 6 PM,10 AM to 6 PM,10 AM to 6 PM,10 AM to 6 PM,10 AM to 6:30 PM,11 AM to 3 PM,5.0,31,31,0,0,0,0,2024-06-10T16:32:47.993Z,Bakery,"https://www.google.com/maps/search/Bakery/@39.9439594,-83.0505893,16z?hl=en&entry=ttu","https://www.google.com/maps/search/Bakery/@39.94395944680436,-83.05058930120104,16z?hl=en",11,ChIJ90aPtOjtOIgRj_XBypAqC80,,14774949803884410255,0x8838ede8b48f46f7:0xcd0b2a90cac1f58f
Kittie's Cakes,,Contemporary counter-serve featuring classic & specialty baked goods such as scones & mini cupcakes.,Bakery,https://www.google.com/maps/search/?api=1&query=Kittie's%20Cakes&query_place_id=ChIJ2xJlUUqPOIgR74qYidf2LTI,False,False,+1 614-754-8828,http://www.kittiescakes.com/,"495 S 3rd St, Columbus, OH 43215, United States",,495 S 3rd St,German Village,Columbus,Ohio,US,43215.0,39.9522116,-82.9962482,"Monday: Closed
Tuesday: 7 AM to 2 PM
Wednesday: 7 AM to 2 PM
Thursday: 7 AM to 2 PM
Friday: 7 AM to 2 PM
Saturday: 7 AM to 3 PM
Sunday: 7 AM to 2 PM",Closed,7 AM to 2 PM,7 AM to 2 PM,7 AM to 2 PM,7 AM to 2 PM,7 AM to 3 PM,7 AM to 2 PM,4.5,162,123,16,10,5,8,2024-06-10T16:32:49.241Z,Bakery,"https://www.google.com/maps/search/Bakery/@39.9439594,-83.0505893,16z?hl=en&entry=ttu","https://www.google.com/maps/search/Bakery/@39.94395944680436,-83.05058930120104,16z?hl=en",10,ChIJ2xJlUUqPOIgR74qYidf2LTI,"X223+VG Columbus, Ohio, USA",3615817481435253487,0x88388f4a516512db:0x322df6d789988aef
Asiyas Sweets,,,"Bakery, Cottage, Cupcake shop, Sweets and dessert buffet, Dessert shop",https://www.google.com/maps/search/?api=1&query=Asiyas%20Sweets&query_place_id=ChIJT9CvUTOFOIgRGVib_uvDLPY,False,False,+1 614-935-4444,https://m.facebook.com/AsiyasSweets/?tsid=0.21465840770996814&source=result,"1408 Pine Wild Dr, Columbus, OH 43223, United States",,1408 Pine Wild Dr,Southwest Columbus,Columbus,Ohio,US,43223.0,39.9254109,-83.0449929,"Monday: Closed
Tuesday: Closed
Wednesday: Closed
Thursday: Closed
Friday: Closed
Saturday: Closed
Sunday: Closed",,,,,,,,5.0,5,5,0,0,0,0,2024-06-10T16:32:54.058Z,Bakery,"https://www.google.com/maps/search/Bakery/@39.9439594,-83.0505893,16z?hl=en&entry=ttu","https://www.google.com/maps/search/Bakery/@39.94395944680436,-83.05058930120104,16z?hl=en",6,ChIJT9CvUTOFOIgRGVib_uvDLPY,"WXG4+52 Columbus, Ohio, USA",17738768450661865497,0x8838853351afd04f:0xf62cc3ebfe9b5819
Kroger Bakery,,"Large supermarket chain with deli & bakery departments, plus health & beauty aids.",Bakery,https://www.google.com/maps/search/?api=1&query=Kroger%20Bakery&query_place_id=ChIJif4aogFeOIgRfNtao9w88iA,False,False,+1 614-855-8665,https://www.kroger.com/onlinedeli/servlet/en/delibakery/cakes,"5161 Hampsted Village Center Way, New Albany, OH 43054, United States",Kroger,5161 Hampsted Village Center Way,Fodor,New Albany,Ohio,US,43054.0,40.0889246,-82.8259338,"Monday: 9 AM to 5 PM
Tuesday: 9 AM to 5 PM
Wednesday: 9 AM to 5 PM
Thursday: 9 AM to 5 PM
Friday: 9 AM to 5 PM
Saturday: 9 AM to 5 PM
Sunday: 9 AM to 5 PM",9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,5.0,4,4,0,0,0,0,2024-06-10T16:33:08.806Z,Bakery,"https://www.google.com/maps/search/Bakery/@40.0884377,-82.8454116,16z?hl=en&entry=ttu","https://www.google.com/maps/search/Bakery/@40.0884376751883,-82.84541158279761,16z?hl=en",4,ChIJif4aogFeOIgRfNtao9w88iA,"35QF+HJ New Albany, Ohio, USA",2374026871908785020,0x88385e01a21afe89:0x20f23cdca35adb7c
Whistle & Keg,,,"Bar, Beer hall, Brewery",https://www.google.com/maps/search/?api=1&query=Whistle%20%26%20Keg&query_place_id=ChIJlYhHdM6POIgRLHwGHGNPgyE,False,False,(614) 869-0013,http://www.whistlekeg.com/,"343 N Front St #125, Columbus, OH 43215",,343 N Front St #125,Downtown,Columbus,Ohio,US,43215.0,39.9692535,-83.0044708,"Monday: 3 PM to 12 AM
Tuesday: 3 PM to 12 AM
Wednesday: 3 PM to 12 AM
Thursday: 3 PM to 12 AM
Friday: 2 PM to 2 AM
Saturday: 2 PM to 2 AM
Sunday: 11 AM to 6 PM",3 PM to 12 AM,3 PM to 12 AM,3 PM to 12 AM,3 PM to 12 AM,2 PM to 2 AM,2 PM to 2 AM,11 AM to 6 PM,4.3,89,61,14,4,1,9,2024-06-10T16:33:27.255Z,Bar & Grill,"https://www.google.com/maps/search/Bar+%26+Grill/@39.9702282,-83.016393,16z?hl=en&entry=ttu","https://www.google.com/maps/search/Bar%20&%20Grill/@39.97022821560144,-83.01639301480047,16z?hl=en",50,ChIJlYhHdM6POIgRLHwGHGNPgyE,"XX9W+P6 Columbus, Ohio",2414861112291261484,0x88388fce74478895:0x21834f631c067c2c
Stories on High,,,Bar,https://www.google.com/maps/search/?api=1&query=Stories%20on%20High&query_place_id=ChIJWYKgUtKPOIgRLWZvXMEz3MI,False,False,(614) 484-5285,http://www.storiesonhigh.com/,"404 N High St, Columbus, OH 43215",Hilton Columbus Downtown,404 N High St,Downtown,Columbus,Ohio,US,43215.0,39.9709234,-83.0020723,"Monday: Closed
Tuesday: 4 to 11 PM
Wednesday: 4 to 11 PM
Thursday: 4 to 11 PM
Friday: 4 PM to 1 AM
Saturday: 4 PM to 1 AM
Sunday: Closed",Closed,4 to 11 PM,4 to 11 PM,4 to 11 PM,4 PM to 1 AM,4 PM to 1 AM,Closed,4.3,163,112,20,16,5,10,2024-06-10T16:33:30.060Z,Bar & Grill,"https://www.google.com/maps/search/Bar+%26+Grill/@39.9702282,-83.016393,16z?hl=en&entry=ttu","https://www.google.com/maps/search/Bar%20&%20Grill/@39.97022821560144,-83.01639301480047,16z?hl=en",53,ChIJWYKgUtKPOIgRLWZvXMEz3MI,"XXCX+95 Columbus, Ohio",14041154643806873133,0x88388fd252a08259:0xc2dc33c15c6f662d
FYR Short North,,,Restaurant,https://www.google.com/maps/search/?api=1&query=FYR%20Short%20North&query_place_id=ChIJ5V3yxiiPOIgRxFzHyMzvpqE,False,False,(614) 484-5286,http://www.fyrshortnorth.com/?y_source=1_NjMzNzEwMzAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"404 N High St, Columbus, OH 43215",Hilton Columbus Downtown,404 N High St,Short North Arts District,Columbus,Ohio,US,43215.0,39.9708918,-83.0026877,"Monday: 5 to 10 PM
Tuesday: 5 to 10 PM
Wednesday: 5 to 10 PM
Thursday: 5 to 10 PM
Friday: 5 to 11 PM
Saturday: 5 to 11 PM
Sunday: Closed",5 to 10 PM,5 to 10 PM,5 to 10 PM,5 to 10 PM,5 to 11 PM,5 to 11 PM,Closed,4.4,209,150,23,18,9,9,2024-06-10T16:33:30.931Z,Bar & Grill,"https://www.google.com/maps/search/Bar+%26+Grill/@39.9702282,-83.016393,16z?hl=en&entry=ttu","https://www.google.com/maps/search/Bar%20&%20Grill/@39.97022821560144,-83.01639301480047,16z?hl=en",62,ChIJ5V3yxiiPOIgRxFzHyMzvpqE,"XXCW+9W Columbus, Ohio",11648261149061242052,0x88388f28c6f25de5:0xa1a6efccc8c75cc4
Creole 2 Geaux,,,Restaurant,https://www.google.com/maps/search/?api=1&query=Creole%202%20Geaux&query_place_id=ChIJr05usnOPOIgRu-l2PSaXL9Y,False,False,(614) 706-4725,http://www.creole2geaux.com/,"401 N Front St, Columbus, OH 43215",U.S. Small Business Administration,401 N Front St,Downtown,Columbus,Ohio,US,43215.0,39.9697216,-83.0040779,"Monday: Closed
Tuesday: 11 AM to 8 PM
Wednesday: 11 AM to 8 PM
Thursday: 11 AM to 8 PM
Friday: 11 AM to 8 PM
Saturday: 11 AM to 8 PM
Sunday: Closed",Closed,11 AM to 8 PM,11 AM to 8 PM,11 AM to 8 PM,11 AM to 8 PM,11 AM to 8 PM,Closed,4.7,53,45,4,1,1,2,2024-06-10T16:33:30.661Z,Bar & Grill,"https://www.google.com/maps/search/Bar+%26+Grill/@39.9702282,-83.016393,16z?hl=en&entry=ttu","https://www.google.com/maps/search/Bar%20&%20Grill/@39.97022821560144,-83.01639301480047,16z?hl=en",59,ChIJr05usnOPOIgRu-l2PSaXL9Y,"XX9W+V9 Columbus, Ohio",15433720638517733819,0x88388f73b26e4eaf:0xd62f97263d76e9bb
DENMARK,,"Handcrafted cocktails & European-style small plates offered in a chic, convivial atmosphere.",Cocktail bar,https://www.google.com/maps/search/?api=1&query=DENMARK&query_place_id=ChIJiUYCkyiPOIgR0Ol0lTEgNj4,False,False,(614) 824-5176,http://www.denmarkonhigh.com/,"463 N High St 2nd floor, Columbus, OH 43215",Yankee on High,463 N High St 2nd floor,Short North Arts District,Columbus,Ohio,US,43215.0,39.9718019,-83.0026977,"Monday: Closed
Tuesday: Closed
Wednesday: 5 to 11 PM
Thursday: 5 to 11 PM
Friday: 5 PM to 12 AM
Saturday: 5 PM to 12 AM
Sunday: Closed",Closed,Closed,5 to 11 PM,5 to 11 PM,5 PM to 12 AM,5 PM to 12 AM,Closed,4.7,361,280,55,15,5,6,2024-06-10T16:33:31.625Z,Bar & Grill,"https://www.google.com/maps/search/Bar+%26+Grill/@39.9702282,-83.016393,16z?hl=en&entry=ttu","https://www.google.com/maps/search/Bar%20&%20Grill/@39.97022821560144,-83.01639301480047,16z?hl=en",51,ChIJiUYCkyiPOIgR0Ol0lTEgNj4,"XXCW+PW Columbus, Ohio",4482805876426861008,0x88388f2893024689:0x3e3620319574e9d0
Hoyo's Kitchen,,,Restaurant,https://www.google.com/maps/search/?api=1&query=Hoyo's%20Kitchen&query_place_id=ChIJo6F8h2aPOIgRsci1dLquTFc,False,False,,http://hoyoskitchen.com/,"59 Spruce St, Columbus, OH 43215",North Market Downtown,59 Spruce St,Short North Arts District,Columbus,Ohio,US,43215.0,39.9718576,-83.0043273,"Monday: Closed
Tuesday: 11 AM to 7 PM
Wednesday: 11 AM to 7 PM
Thursday: 11 AM to 7 PM
Friday: 11 AM to 7 PM
Saturday: 11 AM to 7 PM
Sunday: 11 AM to 5 PM",Closed,11 AM to 7 PM,11 AM to 7 PM,11 AM to 7 PM,11 AM to 7 PM,11 AM to 7 PM,11 AM to 5 PM,4.8,294,267,11,5,3,8,2024-06-10T16:33:31.112Z,Bar & Grill,"https://www.google.com/maps/search/Bar+%26+Grill/@39.9702282,-83.016393,16z?hl=en&entry=ttu","https://www.google.com/maps/search/Bar%20&%20Grill/@39.97022821560144,-83.01639301480047,16z?hl=en",63,ChIJo6F8h2aPOIgRsci1dLquTFc,"XXCW+P7 Columbus, Ohio",6290594895374960817,0x88388f66877ca1a3:0x574caeba74b5c8b1
Martini Modern Italian,,Traditional Italian dishes with a modern twist served in a contemporary space with chandeliers.,"Restaurant, Fine dining restaurant, Italian restaurant",https://www.google.com/maps/search/?api=1&query=Martini%20Modern%20Italian&query_place_id=ChIJrVpElSiPOIgRoYK8u8IvW_k,False,False,(614) 224-8259,https://martinimodernitalian.com/,"445 N High St, Columbus, OH 43215",,445 N High St,Short North Arts District,Columbus,Ohio,US,43215.0,39.9714399,-83.0028301,"Monday: 4 to 10 PM
Tuesday: 4 to 10 PM
Wednesday: 4 to 10 PM
Thursday: 4 to 10 PM
Friday: 4 to 10 PM
Saturday: 4 to 10 PM
Sunday: 4 to 9 PM",4 to 10 PM,4 to 10 PM,4 to 10 PM,4 to 10 PM,4 to 10 PM,4 to 10 PM,4 to 9 PM,4.6,1392,1047,200,69,28,48,2024-06-10T16:33:31.428Z,Bar & Grill,"https://www.google.com/maps/search/Bar+%26+Grill/@39.9702282,-83.016393,16z?hl=en&entry=ttu","https://www.google.com/maps/search/Bar%20&%20Grill/@39.97022821560144,-83.01639301480047,16z?hl=en",58,ChIJrVpElSiPOIgRoYK8u8IvW_k,"XXCW+HV Columbus, Ohio",17968007651744580257,0x88388f2895445aad:0xf95b2fc2bbbc82a1
Howl at the Moon Columbus,,High-energy regular live music shows in a popular bar chain featuring novelty bucket drinks.,"Bar, Cocktail bar, Event venue, Live music bar, Live music venue, Lounge, Night club, Piano bar, Restaurant",https://www.google.com/maps/search/?api=1&query=Howl%20at%20the%20Moon%20Columbus&query_place_id=ChIJ0-VklRePOIgRtlKMtOgiLLM,False,False,(614) 568-4695,https://www.howlatthemoon.com/columbus/,"504 Park St, Columbus, OH 43215",,504 Park St,Short North Arts District,Columbus,Ohio,US,43215.0,39.9725336,-83.0042853,"Monday: Closed
Tuesday: Closed
Wednesday: Closed
Thursday: 6 PM to 2 AM
Friday: 6 PM to 2:30 AM
Saturday: 6 PM to 2:30 AM
Sunday: Closed",Closed,Closed,Closed,6 PM to 2 AM,6 PM to 2:30 AM,6 PM to 2:30 AM,Closed,4.3,159,98,35,8,6,12,2024-06-10T16:33:32.117Z,Bar & Grill,"https://www.google.com/maps/search/Bar+%26+Grill/@39.9702282,-83.016393,16z?hl=en&entry=ttu","https://www.google.com/maps/search/Bar%20&%20Grill/@39.97022821560144,-83.01639301480047,16z?hl=en",56,ChIJ0-VklRePOIgRtlKMtOgiLLM,"XXFW+27 Columbus, Ohio",12910732614621221558,0x88388f179564e5d3:0xb32c22e8b48c52b6
Hyde Park Prime Steakhouse,,"High-end steakhouse chain serving grilled meats, seafood & cocktails in a sophisticated setting.","Steak house, Fine dining restaurant, Seafood restaurant",https://www.google.com/maps/search/?api=1&query=Hyde%20Park%20Prime%20Steakhouse&query_place_id=ChIJOQDCEiiPOIgRC47X0reqAQ0,False,False,(614) 224-2204,http://www.hydeparkrestaurants.com/,"569 N High St, Columbus, OH 43215",,569 N High St,Short North Arts District,Columbus,Ohio,US,43215.0,39.9740163,-83.0031769,"Monday: 4:30 to 9 PM
Tuesday: 4:30 to 9 PM
Wednesday: 4:30 to 9 PM
Thursday: 4:30 to 9 PM
Friday: 4:30 to 10 PM
Saturday: 4:30 to 10 PM
Sunday: 4 to 8 PM",4:30 to 9 PM,4:30 to 9 PM,4:30 to 9 PM,4:30 to 9 PM,4:30 to 10 PM,4:30 to 10 PM,4 to 8 PM,4.6,1638,1280,198,76,33,51,2024-06-10T16:33:32.511Z,Bar & Grill,"https://www.google.com/maps/search/Bar+%26+Grill/@39.9702282,-83.016393,16z?hl=en&entry=ttu","https://www.google.com/maps/search/Bar%20&%20Grill/@39.97022821560144,-83.01639301480047,16z?hl=en",52,ChIJOQDCEiiPOIgRC47X0reqAQ0,"XXFW+JP Columbus, Ohio",937217903962852875,0x88388f2812c20039:0xd01aab7d2d78e0b
Cravings Café,,Cozy counter-service place offering specialty sandwiches & a variety of breakfast & lunch dishes.,"Sandwich shop, Breakfast restaurant, Lunch restaurant",https://www.google.com/maps/search/?api=1&query=Cravings%20Caf%C3%A9&query_place_id=ChIJi0nyidGOOIgRS_dx2Bj11Fk,False,False,(614) 670-4439,http://cravingscafe614.com/,"114 N Front St, Columbus, OH 43206",,114 N Front St,Downtown,Columbus,Ohio,US,43206.0,39.964548,-83.0026551,"Monday: 8 AM to 2 PM
Tuesday: 8 AM to 2 PM
Wednesday: 8 AM to 2 PM
Thursday: 8 AM to 2 PM
Friday: 8 AM to 2 PM
Saturday: Closed
Sunday: Closed",8 AM to 2 PM,8 AM to 2 PM,8 AM to 2 PM,8 AM to 2 PM,8 AM to 2 PM,Closed,Closed,4.5,238,175,39,9,5,10,2024-06-10T16:33:33.314Z,Bar & Grill,"https://www.google.com/maps/search/Bar+%26+Grill/@39.9702282,-83.016393,16z?hl=en&entry=ttu","https://www.google.com/maps/search/Bar%20&%20Grill/@39.97022821560144,-83.01639301480047,16z?hl=en",54,ChIJi0nyidGOOIgRS_dx2Bj11Fk,"XX7W+RW Columbus, Ohio",6473068051497613131,0x88388ed189f2498b:0x59d4f518d871f74b
Noni's Pet Barkery,,,Bakery,https://www.google.com/maps/search/?api=1&query=Noni's%20Pet%20Barkery&query_place_id=ChIJkYbjK2aPOIgRl9-eosObuS0,False,False,(614) 301-1419,,"751 N 6th St #204, Columbus, OH 43215",Galion Flats,751 N 6th St #204,Italian Village,Columbus,Ohio,US,43215.0,39.9783321,-82.9970773,"Monday: Closed
Tuesday: Closed
Wednesday: Closed
Thursday: Closed
Friday: Closed
Saturday: Closed
Sunday: Closed",,,,,,,,,0,0,0,0,0,0,2024-06-10T16:33:47.586Z,Bakery,"https://www.google.com/maps/search/Bakery/@39.9833626,-82.9992949,16z?hl=en&entry=ttu","https://www.google.com/maps/search/Bakery/@39.98336259999998,-82.99929487160018,16z?hl=en",27,ChIJkYbjK2aPOIgRl9-eosObuS0,"X2H3+85 Columbus, Ohio",3294835866947477399,0x88388f662be38691:0x2db99bc3a29edf97
Priscilla's Specialty Cakes,,,Bakery,https://www.google.com/maps/search/?api=1&query=Priscilla's%20Specialty%20Cakes&query_place_id=ChIJ-VSbtg-POIgR6NLlIimJG_U,False,False,(614) 584-2351,http://www.facebook.com/priscillasspecialtycakes,"610 S Hague Ave, Columbus, OH 43204",,610 S Hague Ave,Hilltop,Columbus,Ohio,US,43204.0,39.9423696,-83.0729724,"Monday: 9 AM to 9 PM
Tuesday: 9 AM to 9 PM
Wednesday: 9 AM to 9 PM
Thursday: 9 AM to 9 PM
Friday: 9 AM to 9 PM
Saturday: 9 AM to 9 PM
Sunday: 9 AM to 9 PM",9 AM to 9 PM,9 AM to 9 PM,9 AM to 9 PM,9 AM to 9 PM,9 AM to 9 PM,9 AM to 9 PM,9 AM to 9 PM,4.3,6,5,0,0,0,1,2024-06-10T16:33:49.497Z,Bakery,"https://www.google.com/maps/search/Bakery/@39.9439594,-83.0505893,16z?hl=en&entry=ttu","https://www.google.com/maps/search/Bakery/@39.94395944680436,-83.05058930120104,16z?hl=en",1,ChIJ-VSbtg-POIgR6NLlIimJG_U,"WWRG+WR Columbus, Ohio",17661861173435683560,0x88388f0fb69b54f9:0xf51b892922e5d2e8
Short Cort Sweets N More LLC,,,"Bakery, Service establishment",https://www.google.com/maps/search/?api=1&query=Short%20Cort%20Sweets%20N%20More%20LLC&query_place_id=ChIJp8sOqMFeR4QRwyG0O-4I4tg,False,False,(614) 747-3135,,,,,,,,,,39.9829514,-82.990829,"Monday: 4 to 10 PM
Tuesday: 4 to 10 PM
Wednesday: Closed
Thursday: Closed
Friday: 4 to 10 PM
Saturday: 4 to 10 PM
Sunday: 11 AM to 10 PM",4 to 10 PM,4 to 10 PM,Closed,Closed,4 to 10 PM,4 to 10 PM,11 AM to 10 PM,,0,0,0,0,0,0,2024-06-10T16:33:49.891Z,Bakery,"https://www.google.com/maps/search/Bakery/@39.9439594,-83.0505893,16z?hl=en&entry=ttu","https://www.google.com/maps/search/Bakery/@39.94395944680436,-83.05058930120104,16z?hl=en",3,ChIJp8sOqMFeR4QRwyG0O-4I4tg,,15628063476225941955,0x84475ec1a80ecba7:0xd8e208ee3bb421c3
Fairytale Cakes by Kendall,,,"Wedding bakery, Service establishment",https://www.google.com/maps/search/?api=1&query=Fairytale%20Cakes%20by%20Kendall&query_place_id=ChIJpX8eezMmgSgR_p9ejX1Tgt4,False,False,(614) 285-3555,,,,,,,,,,39.9829514,-82.990829,"Monday: Closed
Tuesday: Closed
Wednesday: Closed
Thursday: Closed
Friday: Closed
Saturday: Closed
Sunday: Closed",,,,,,,,4.3,12,10,0,0,0,2,2024-06-10T16:33:49.984Z,Bakery,"https://www.google.com/maps/search/Bakery/@39.9439594,-83.0505893,16z?hl=en&entry=ttu","https://www.google.com/maps/search/Bakery/@39.94395944680436,-83.05058930120104,16z?hl=en",18,ChIJpX8eezMmgSgR_p9ejX1Tgt4,,16033469422100193278,0x288126337b1e7fa5:0xde82537d8d5e9ffe
WOODHOUSE Bakery + Coffee Shop,,,Vegan restaurant,https://www.google.com/maps/search/?api=1&query=WOODHOUSE%20Bakery%20%2B%20Coffee%20Shop&query_place_id=ChIJe15xE0uPOIgR1_BNnjolomY,False,False,(614) 972-6069,http://www.woodhousevegan.com/,"19 W Russell St, Columbus, OH 43215",,19 W Russell St,Short North Arts District,Columbus,Ohio,US,43215.0,39.9753843,-83.0037837,"Monday: Closed
Tuesday: 8 AM to 2 PM
Wednesday: 8 AM to 2 PM
Thursday: 8 AM to 3 PM
Friday: 8 AM to 3 PM
Saturday: 8 AM to 3 PM
Sunday: 8 AM to 3 PM",Closed,8 AM to 2 PM,8 AM to 2 PM,8 AM to 3 PM,8 AM to 3 PM,8 AM to 3 PM,8 AM to 3 PM,4.9,38,36,1,1,0,0,2024-06-10T16:33:50.170Z,Bakery,"https://www.google.com/maps/search/Bakery/@39.9702282,-83.016393,16z?hl=en&entry=ttu","https://www.google.com/maps/search/Bakery/@39.97022821560144,-83.01639301480047,16z?hl=en",28,ChIJe15xE0uPOIgR1_BNnjolomY,"XXGW+5F Columbus, Ohio",7395514471790014679,0x88388f4b13715e7b:0x66a2253a9e4df0d7
Kroger Bakery,,"Large supermarket chain with deli & bakery departments, plus health & beauty aids.",Bakery,https://www.google.com/maps/search/?api=1&query=Kroger%20Bakery&query_place_id=ChIJp7LFwmaFOIgRF2coH7w8pTs,False,False,(614) 274-7717,https://www.kroger.com/topic/deli-and-bakery,"2161 Eakin Rd, Columbus, OH 43223",Kroger,2161 Eakin Rd,Southwest Columbus,Columbus,Ohio,US,43223.0,39.9314201,-83.0535987,"Monday: Closed
Tuesday: Closed
Wednesday: Closed
Thursday: Closed
Friday: Closed
Saturday: Closed
Sunday: Closed",,,,,,,,4.6,5,4,0,1,0,0,2024-06-10T16:33:50.196Z,Bakery,"https://www.google.com/maps/search/Bakery/@39.9439594,-83.0505893,16z?hl=en&entry=ttu","https://www.google.com/maps/search/Bakery/@39.94395944680436,-83.05058930120104,16z?hl=en",2,ChIJp7LFwmaFOIgRF2coH7w8pTs,"WWJW+HH Columbus, Ohio",4297908198069266199,0x88388566c2c5b2a7:0x3ba53cbc1f286717
Starbucks,,"Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.","Coffee shop, Breakfast restaurant, Cafe, Coffee store, Espresso bar, Internet cafe",https://www.google.com/maps/search/?api=1&query=Starbucks&query_place_id=ChIJ6XXgWC-POIgR9V-q2S-aiPw,False,False,(614) 246-6400,https://www.starbucks.com/store-locator/store/15035/,"339 N Front St, Columbus, OH 43215",Nationwide Arena,339 N Front St,Arena District,Columbus,Ohio,US,43215.0,39.9692403,-83.0048883,"Monday: 6 AM to 6:30 PM
Tuesday: 6 AM to 6:30 PM
Wednesday: 6 AM to 6:30 PM
Thursday: 6 AM to 6:30 PM
Friday: 6 AM to 6:30 PM
Saturday: 6:30 AM to 4 PM
Sunday: 6:30 AM to 4 PM",6 AM to 6:30 PM,6 AM to 6:30 PM,6 AM to 6:30 PM,6 AM to 6:30 PM,6 AM to 6:30 PM,6:30 AM to 4 PM,6:30 AM to 4 PM,4.4,373,227,94,26,10,16,2024-06-10T16:33:50.360Z,Bakery,"https://www.google.com/maps/search/Bakery/@39.9702282,-83.016393,16z?hl=en&entry=ttu","https://www.google.com/maps/search/Bakery/@39.97022821560144,-83.01639301480047,16z?hl=en",36,ChIJ6XXgWC-POIgR9V-q2S-aiPw,"XX9W+M2 Columbus, Ohio",18196963824696451061,0x88388f2f58e075e9:0xfc889a2fd9aa5ff5
